status,src_field,src_type,bcv_field,bcv_type,size,usage:ETL,usage:SOS,usage:Insights,usage:Arena,usage:LQS,usage:CP,usage:AF,usage:Others,recommended_action
DIFF,inventory__site_section_chain__eligible_outbound_orders__avails_category__distinct_inventory_avails,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__avails_category__inventory_avails,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__avails_category__raw_inventory_distinct_avails_in_played_slot,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__avails_category__supply_avails,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__count_true_avails_as_booked,array(array(boolean)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__ad_filling_status,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__ad_filling_status__available_duration,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__ad_filling_status__filled_ad_num,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__ad_filling_status__filled_duration,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__ad_filling_status__unified_unfilled_opp,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__ad_filling_status__default_unfilled_opp,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__ad_filling_status__initial_filled_ad_num,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_outbound_orders__ad_filling_status__initial_filled_duration,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__outbound_exchange_listings,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__outbound_exchange_listings__listing_ids,array(array(array(bigint))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__outbound_exchange_listings__avails_metrics,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__outbound_exchange_listings__avails_metrics__default_duration,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__outbound_exchange_listings__avails_metrics__opportunity,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__outbound_exchange_listings__avails_metrics__avails,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__outbound_exchange_listings__avails_metrics__unfilled_avails,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,inventory__site_section_chain__visible_concrete_event_id,array(array(bigint)),inventory__site_section_chain__visible_concrete_event_id,array(array(bigint)),,,,,,,,,,
MATCHED,inventory__site_section_chain__tracked_audience_item_ids,array(array(bigint)),inventory__site_section_chain__tracked_audience_item_ids,array(array(bigint)),0.07,,,,,,,,,
MATCHED,inventory__site_section_chain__non_tracked_audience_item_ids,array(array(bigint)),inventory__site_section_chain__non_tracked_audience_item_ids,array(array(bigint)),,,,,,,,,,
DIFF,inventory__site_section_chain__marketplace_audience_extension_deal_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,inventory__site_section_chain__portfolio_ids,array(array(bigint)),inventory__site_section_chain__portfolio_ids,array(array(bigint)),,,,,,,,,,
MATCHED,inventory__site_section_chain__custom_platform_ids,array(array(bigint)),inventory__site_section_chain__custom_platform_ids,array(array(bigint)),,,,,,,,,,
MATCHED,inventory__site_section_chain__region_ids,array(array(bigint)),inventory__site_section_chain__region_ids,array(array(bigint)),,,,,,,,,,
MATCHED,inventory__site_section_chain__network_execution_ctx_index,array(integer),inventory__site_section_chain__network_execution_ctx_index,array(integer),,,,,,,,,,
MATCHED,inventory__site_section_chain__network_execution_ctx_flags,array(bigint),inventory__site_section_chain__network_execution_ctx_flags,array(bigint),,,,,,,,,,
DIFF,inventory__site_section_chain__network_is_ad_owner,array(boolean),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_is_ad_unit_owner,array(boolean),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_is_extra_item_owner,array(boolean),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_is_vod_programmer,array(boolean),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__count_imp_as_booked,array(boolean),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__deal_awareability,array(boolean),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__demand_dim_awareability,array(boolean),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__carriage_inventory_owner_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__carriage_listing_split_unit_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__eligible_carriage_listing_split_unit_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__ad_priority_bucket,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__supply_source,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__supply_source_type,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__sales_channel,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__programmatic_exchange_rate_to_usd,array(double),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__programmatic_exchange_rate_to_eur,array(double),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__bidder_seat_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__global_currency_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__floor_price,array(double),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__ad_unit_default_duration,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__ad_filling_status,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__ad_filling_status__available_duration,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__ad_filling_status__filled_ad_num,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__ad_filling_status__filled_duration,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__ad_filling_status__unified_unfilled_opp,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__ad_filling_status__default_unfilled_opp,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__ad_filling_status__initial_filled_ad_num,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__ad_filling_status__initial_filled_duration,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__priority_tier,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__priority_value,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__priority_type,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__supply_acquisition_cost,array(double),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__supply_distribution_cost,array(double),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__internal_deal_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__inbound_order_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__inbound_listing_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__buyer_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__internal_seat_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__outbound_order_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__outbound_exchange_order_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__matched_yield_optimization_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__selected_yield_optimization_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__selected_yield_optimization_info_ids,array(array(array(bigint))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__matched_inventory_package_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
MATCHED,inventory__site_section_chain__inventory_package_ids,array(array(bigint)),inventory__site_section_chain__inventory_package_ids,array(array(bigint)),0.33,,,,,,,,,
DIFF,inventory__site_section_chain__matched_audience_item_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__matched_key_value_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__matched_daypart,array(boolean),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info,array(varchar),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_targeting_metrics,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_targeting_metrics__input_ad_number,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_targeting_metrics__output_ad_number,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_targeting_metrics__data_privacy,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_targeting_metrics__restriction,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_targeting_metrics__unmapped,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_targeting_metrics__undefined,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__input_ad_number,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__output_ad_number,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__no_ad_domain,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__no_slot_assigned_through_mrm_rule,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__frequency_cap,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__cpx_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__met_schedule,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__rbp_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__no_applicable_slot,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__sponsorship_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__exclusivity_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__no_applicable_slot_user_experience,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__no_applicable_slot_no_external_rule,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__no_applicable_slot_not_resellable,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__no_applicable_slot_promo_only,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__no_applicable_slot_not_compatible,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__met_budget,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__met_yield_optimization,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__unmapped,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__undefined,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filtering_metrics__ad_truncation,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__input_ad_number,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__output_ad_number,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__frequency_cap,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_applicable_slot,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__compliance_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_creative,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_suitable_rule_path,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__profile_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__floor_price_not_met,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__restriction,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__exclusivity,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__pg_deal_bid_throttling,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__auction_max_ad_duration,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__reseller_restriction,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__market_ad_not_approved,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__listing_creative_duration_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_creative_ad_asset_store_availability,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_creative_bitrate_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_creative_creative_targeting_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_creative_date_range_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_creative_slot_max_ad_duration_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_creative_slot_compatible_dimension_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__inventory_source_restriction,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_applicable_slot_not_compatible,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__no_applicable_slot_excluded_by_sponsor,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__met_yield_optimization,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__mpe_listing_restriction,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__unmapped,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__undefined,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__inbound_order_competition_failure,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_creative_checking_metrics__competition_failure_in_pick_many,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__input_ad_number,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__output_ad_number,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__slot_max_num_ads,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__slot_max_duration,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__time_based_freq_cap,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__no_creative,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__companion_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__pod_position_targeting_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__slot_exclusivity_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__slot_sponsorship_check_failed,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__slot_filled_by_multi_ad,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__output_fallback_ad_number,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__slot_not_found,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__do_not_repeat,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__unmapped,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__ad_filling_metrics__undefined,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__network_id,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__demand_type,array(array(integer)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__order_id,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__listing_ids,array(array(array(bigint))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__phase_metrics,array(array(array(varchar))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__phase_metrics__phase,array(array(array(bigint))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__phase_metrics__name,array(array(array(varchar))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__network_selection_info__candidate_ad_funnel_metrics__phase_metrics__value,array(array(array(bigint))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__inventory_distribution_contexts,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__inventory_distribution_contexts__carriage_inventory_owner_id,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__inventory_distribution_contexts__carriage_listing_split_unit_id,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__mapped_asset_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__mapped_site_section_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__selected_yo_volume_cap_ids,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__selected_yo_distribution_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__selected_yo_distribution_nip_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__selected_yo_inventory_prioritization_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__selected_yo_inventory_prioritization_nip_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__selected_yo_margin_id,array(bigint),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__audience_segment_max_cpm,array(double),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__audience_partner_segment_infos,array(array(varchar)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__audience_partner_segment_infos__audience_partner_id,array(array(bigint)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__audience_partner_segment_infos__max_cpm,array(array(double)),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__audience_partner_segment_infos__matched_segments,array(array(array(varchar))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__audience_partner_segment_infos__matched_segments__id,array(array(array(integer))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__audience_partner_segment_infos__matched_segments__cpm,array(array(array(double))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__audience_partner_segment_infos__matched_segments__flags,array(array(array(bigint))),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__supply_priority,array(integer),,,,,,,,,,,,No Backfill - Low Usage
DIFF,inventory__site_section_chain__acquired_supply_type,array(integer),,,,,,,,,,,,No Backfill - Low Usage
